Abbruch	Abort
Kopie	Copy
Kopieren	Copy
L__gc_zustand	L__gc_state
Laden	Load
Laenge	Length
Laeuft	Runs
Lauf	Run
Laufzeit	Runtime
Lebend	Live
Leer	Empty
Leeren	Clear
LeseFehler	LeseError
Lesen	Read
Liest	Reads
Liste	List
Loeschen	Delete
Luecke	Gap
Markieren	Mark
Maske	Mask
Meldung	Message
Menge	Set
Messung	Measurement
MitFeld	MitField
Modul	Module
Modus	Mode
Muster	Pattern
Nachtragen	Catchup
Naechster	Next
Namen	Names
Neu	New
Neuer	New
Nummer	Number
Oktett	Byte
Oktette	Bytes
Paar	Pair
Paket	Package
Pakete	Packages
Pause	Pause
Pfad	Path
Platz	Slot
Praefix	Prefix
Programm	Program
Pruefen	Check
Prueft	Checks
Puffer	Buffer
Punkt	Dot
Punkt__summe	Dot__sum
Quelle	Source
Rahmen	Frame
RcPaar	RcPair
RechenFehler	RechenError
Rechnen	Compute
Register	Register
Reihe	Row
Rest	Rest
Roh	Raw
Rumpf	Body
Sammeln	Collect
Sammler	Collector
Sammlung	Collection
Sammlungen	Collections
Schalter	Flag
Scheibe	Slice
Schlaegt	Fails
Schluessel	Key
Schluss	Final
Schnitt	Cut
Schnittstelle	Interface
Schreib	Write
Schreiben	Write
Schritt	Step
Seite	Page
Selbst	Self
Sicht	View
Spalte	Col
Spanne	Span
Spanne__laenge	Span__length
Speicher	Memory
Sperre	Lock
Sperren	Lock
Stapel	Stack
Stelle	Site
Stellen	Digits
Strom	Stream
Stufe	Stage
Suche	Search
Suchen	Search
Summe	Sum
Tabelle	Table
Tafel	Table
Tausch	Swap
Teil	Part
Teile	Parts
Teilen	Split
Tiefe	Depth
Typ	Type
Typ__m	Type__m
Typ__methode	Type__methode
Typ__name	Type__name
Typen	Types
TypenKanon	TypesKanon
Uebersetzen	Compile
Umbruch	Break
Umschalten	Toggle
Variante	Variant
Verbinden	Join
Vergleich	Compare
Verweis	Ref
Verzeichnis	Dir
Vollstaendig	Complete
Vorlage	Template
Wachsen	Grow
Wahl	Choice
Warten	Wait
Welt	World
Wert	Value
Werte	Values
Wort	Word
Wurzel	Root
Zaehler	Counter
Zahl	Number
Zeichen	Char
Zeiger	Ptr
Zeile	Line
Zeilen	Lines
Zeit	Time
Zelle	Cell
Ziel	Target
Zuerst	First
Zusammen	Merge
Zustand	State
Zyklus	Cycle
__faden	__thread
__faden_arbeit	__thread_work
__faden_block_lokal	__thread_block_lokal
__faden_blockiert_an	__thread_blockiert_an
__faden_blockiert_aus	__thread_blockiert_aus
__faden_einstieg	__thread_entry
__faden_entsperren	__thread_unlock
__faden_entsperren_roh	__thread_unlock_raw
__faden_futex_warten	__thread_futex_wait
__faden_futex_warten_geteilt	__thread_futex_wait_geteilt
__faden_futex_wecken	__thread_futex_wecken
__faden_gettid	__thread_gettid
__faden_listen_alle_zurueck	__thread_listen_all_zurueck
__faden_listen_zurueck	__thread_listen_zurueck
__faden_nachfuellen	__thread_nachfuellen
__faden_nachgeben	__thread_nachgeben
__faden_parken	__thread_parken
__faden_platz_neu	__thread_slot_new
__faden_safepoint	__thread_safepoint
__faden_selbst	__thread_self
__faden_sperren	__thread_lock
__faden_sperren_langsam	__thread_lock_langsam
__faden_sperren_roh	__thread_lock_raw
__faden_starten	__thread_start
__faden_tausch	__thread_swap
__faden_tcb	__thread_tcb
__faden_zustand_melden	__thread_state_report
__gc_abbruch	__gc_abort
__gc_barrier_zyklus	__gc_barrier_cycle
__gc_block_frei	__gc_block_free
__gc_chunk_neu	__gc_chunk_new
__gc_eigener_boden	__gc_own_bottom
__gc_fach	__gc_bucket
__gc_faeden_scannen	__gc_threads_scannen
__gc_fehler_fin_alloc	__gc_error_fin_alloc
__gc_fehler_fin_collect	__gc_error_fin_collect
__gc_fehler_fin_wieder	__gc_error_fin_wieder
__gc_felder_nullen	__gc_fields_nullen
__gc_fin_alle	__gc_fin_all
__gc_fin_scheibe	__gc_fin_slice
__gc_jetzt_ns	__gc_now_ns
__gc_klasse_fuer	__gc_class_for
__gc_klassen_bytes	__gc_classes_bytes
__gc_nachtragen	__gc_catchup
__gc_pause_buche	__gc_pause_buche
__gc_pause_buche_fin	__gc_pause_buche_fin
__gc_pause_buche_h	__gc_pause_buche_h
__gc_scrub_tief	__gc_scrub_deep
__gc_stapel_boden	__gc_stack_bottom
__gc_stapel_boden_maps	__gc_stack_bottom_maps
__gc_sweep_schritt	__gc_sweep_step
__gc_weak_maske	__gc_weak_mask
__gc_wroot_platz	__gc_wroot_slot
__gc_zyklus_ende	__gc_cycle_end
__gc_zyklus_fertig	__gc_cycle_done
__gc_zyklus_schritt	__gc_cycle_step
__gc_zyklus_start	__gc_cycle_start
__gcmap_platz	__gcmap_slot
__gcmap_wachsen	__gcmap_grow
__gcslots_adr	__gcslots_addr
__gcslots_neu	__gcslots_new
__gcvec_wachsen	__gcvec_grow
__mmio_lesen	__mmio_read
__mmio_schreiben	__mmio_write
_arc_faden	_arc_thread
_arc_gc_wurzel	_arc_gc_root
_arc_grund	_arc_basic
_arc_zyklus_leck	_arc_cycle_leck
_baum_konstruktion	_tree_konstruktion
_dom_baum_gc	_dom_tree_gc
_dom_kern	_dom_core
_fehler_ausgabe	_error_output
_fehlerunion_kern	_fehlerunion_core
_gc_finalisierer	_gc_finalizer
_iface_gc_kern	_iface_gc_core
_iface_kern	_iface_core
_iface_modul_kern	_iface_module_core
_impl_kern	_impl_core
_impl_modul_kern	_impl_module_core
_impl_std_kern	_impl_std_core
_interpolation_kern	_interpolation_core
_modul_fehler	_module_error
_no_gc_modul	_no_gc_module
_rc_grund	_rc_basic
_rc_zyklus_leck	_rc_cycle_leck
_std_io_kern	_std_io_core
_std_kern	_std_core
_std_map_kern	_std_map_core
_std_math_kern	_std_math_core
_std_num_kern	_std_num_core
_std_str_kern	_std_str_core
_std_vec_kern	_std_vec_core
_vec_modul	_vec_module
a_pfad	a_path
a_zeile	a_line
ab_datei	ab_file
ab_wurzel	ab_root
abhaengiger_wert_bleibt_drin	abhaengiger_value_bleibt_drin
abi_klasse	abi_class
ablegen	store
abs_datei	abs_file
absoluter_pfad	absoluter_path
add_ausdruck	add_expr
adr	addr
adr_a	addr_a
adr_b	addr_b
adr_y	addr_y
adresse	address
adressen	addresses
af_seite	af_page
akt	cur
aktiv_bis_marke_leeren	aktiv_bis_marke_clear
aktiv_einfuegen_bei	aktiv_insert_bei
aktiv_letzter_mit_namen	aktiv_letzter_mit_names
alle	all
alle_bits	all_bits
alle_un	all_un
alloca_dazu	alloca_add
allokation	allocation
allokationen	allocations
alt	old
alt_bb	old_bb
alt_k	old_k
alt_kap	old_cap
alt_kopf	old_header
alt_off	old_off
alt_v	old_v
alt_z	old_z
am_ende	am_end
anfang	start
anhaengen	append
anhaengen_zeichen	append_char
anhalten	stop
anker	anchor
anmelden	register
anweisung	stmt
anweisung_neu	stmt_new
anzahl	count
anzahl_bytes	count_bytes
arbeit	work
arbeit_ms	work_ms
arbeiten	work
arc_block_holen	arc_block_get
arc_freigeben	arc_free
arc_gleich	arc_equal
arc_groesse_von	arc_size_von
arc_heap_allokationen	arc_heap_allocations
arc_heap_frei	arc_heap_free
arc_heap_freigaben	arc_heap_releases
arc_heap_kapazitaet	arc_heap_capacity
arc_heap_lebende	arc_heap_live
arc_ist_leer	arc_ist_empty
arc_klasse_bytes	arc_class_bytes
arc_klasse_fuer	arc_class_for
arc_leer	arc_empty
arc_lesen	arc_read
arc_neu	arc_new
arc_roh_adresse	arc_raw_address
arc_roh_verweis	arc_raw_ref
arc_schwach_zahl	arc_weak_number
arc_stark_zahl	arc_strong_number
arc_wert_adresse	arc_value_address
arg_anfang	arg_start
arg_anzahl	arg_count
arg_dazu	arg_add
arg_zeiger	arg_ptr
args_ablegen	args_store
arrays_zaehlen_wie_structs	arrays_count_wie_structs
art	kind
art_nr	kind_nr
art_s	kind_s
art_von	kind_von
as_pfad	as_path
ascii_klein	ascii_small
asm_anzahl	asm_count
asm_ausdruck	asm_expr
asm_bleibt_trotz_unbenutztem_ergebnis_stehen	asm_bleibt_trotz_unbenutztem_result_stehen
asm_clob_anzahl	asm_clob_count
asm_dazu	asm_add
asm_ein_anzahl	asm_ein_count
asm_nummer	asm_number
asm_pruefen	asm_check
asm_reg_pruefen	asm_reg_check
asm_vorlage	asm_template
ast_typ	ast_type
attr_finden	attr_find
attr_setzen	attr_set
attr_wert	attr_value
attr_zahl	attr_number
attribut	attr
attribut_probe	attr_probe
attribute_gleich	attribute_equal
attribute_schreiben	attribute_write
auf_funktion	auf_func
aufbau	build
aufbau_ms	build_ms
aufruf	call
aufruf_mit_acht_argumenten_legt_zwei_auf_den_stapel	call_mit_acht_argumenten_legt_zwei_auf_den_stack
aufruf_zwischen_store_und_load_verhindert_weiterleitung	call_zwischen_store_und_load_verhindert_weiterleitung
aufruf_zwischen_store_und_sprung_blockiert	call_zwischen_store_und_sprung_blockiert
aufrufe	calls
aufrufen	call
aufwerten_leer	aufwerten_empty
aus_rahmen	aus_frame
ausdruck	expr
ausdruck_anzahl	expr_count
ausdruck_inner	expr_inner
ausdruck_neu	expr_new
ausgabe	output
ausgeben	emit
ausricht	align
ausrichtung	alignment
ausrichtung_von	alignment_von
aussen	outer
aussen_merken	outer_merken
aussen_neu	outer_new
aweak_freigeben	aweak_free
aweak_ist_leer	aweak_ist_empty
aweak_leer	aweak_empty
aweak_roh_adresse	aweak_raw_address
aweak_stark_zahl	aweak_strong_number
b_grenze	b_limit
b_gross	b_big
b_klein	b_small
basis_darf_gelesen	basis_may_gelesen
bauen	build
baum	tree
baum_bauen	tree_build
baum_dokument	tree_dokument
baum_eof	tree_eof
baum_fehler	tree_error
baum_frei	tree_free
baum_init	tree_init
baum_kaputt	tree_kaputt
baum_loslassen	tree_loslassen
baum_loslassen_und_saeubern	tree_loslassen_und_saeubern
baum_modus	tree_mode
baum_neu	tree_new
baum_offen_zahl	tree_offen_number
baum_probe	tree_probe
baum_puffer_init	tree_buffer_init
baum_s	tree_s
baum_schreiben	tree_write
baum_token	tree_token
baum_um_loeschen	tree_um_delete
baum_um_pos	tree_um_pos
baum_um_tag	tree_um_tag
baum_umschaltung	tree_umschaltung
bd_typ	bd_type
bed_ausdruck	bed_expr
bedingung	cond
bedingung_ohne_struct_literal	cond_ohne_struct_literal
belegt	used
belegt_register	used_register
bereich	range
bereich_auf	range_auf
bereich_schon_offen	range_schon_offen
bereich_zu	range_zu
bereit	ready
besuche_aufrufe	besuche_calls
bewegen	move
binaer	binary
bindung_finden	bindung_find
block_anzahl	block_count
block_neu	block_new
bloecke	blocks
boden	bottom
braucht_sammlungen	braucht_collections
breite	width
breite_aus_tabelle	width_aus_table
breite_von	width_von
buf_frei	buf_free
buf_leeren	buf_clear
buf_neu	buf_new
buf_setzen	buf_set
bytes_gleich	bytes_equal
c_laenge	c_length
c_typ	c_type
c_wert	c_value
catch_pruefen	catch_check
cg_frei	cg_free
cg_freistehend_setzen	cg_freistehend_set
cg_gc_setzen	cg_gc_set
cg_if_setzen	cg_if_set
cg_lauf	cg_run
cg_neu	cg_new
check_mmio_lesen	check_mmio_read
check_mmio_schreiben	check_mmio_write
check_neu	check_new
checker_nach_erstem_lauf	checker_nach_erstem_run
coerce_art	coerce_kind
coerce_pruefen	coerce_check
comptime_bloecke	comptime_blocks
comptime_datei_absolut	comptime_file_absolut
comptime_datei_eltern	comptime_file_parent
constant_time_funktionen_bleiben_getrennt	constant_time_funcs_bleiben_getrennt
cos_kern	cos_core
cp_neu	cp_new
ct_anzahl	ct_count
ct_dazu	ct_add
ctor_adresse	ctor_address
ctor_pruefen	ctor_check
ctor_schreiben	ctor_write
ctor_teilen	ctor_split
d_datei	d_file
d_grenze	d_limit
d_laenge	d_length
d_spalte	d_col
d_zeile	d_line
d_ziel	d_target
dach	roof
darf	may
datei	file
datei_	file_
datei_byte	file_byte
datei_groesse	file_size
datei_id	file_id
dateien	files
daten	data
dauer	duration
dazu	add
dazu_cp	add_cp
defer_bis_fehler	defer_bis_error
defer_ebene_auf	defer_level_auf
defer_ebene_zu	defer_level_zu
dep_wurzel	dep_root
dez_rechts	dez_right
diag_anzahl	diag_count
diag_datei	diag_file
diag_fehler	diag_error
diag_fehler_hinweis	diag_error_note
diag_frei	diag_free
diag_hat_fehler	diag_has_error
diag_neu	diag_new
dicht	dense
doctype_modus	doctype_mode
doctype_neu	doctype_new
dok_modus	dok_mode
dok_modus_setzen	dok_mode_set
doku_programm	doku_program
dokument_neu	dokument_new
dom_attribut_entfernen	dom_attr_remove
dom_attribut_lesen	dom_attr_read
dom_attribut_setzen	dom_attr_set
dom_attribut_zahl	dom_attr_number
dom_element_neu	dom_elem_new
dom_kind_anhaengen	dom_kind_append
dom_kind_entfernen	dom_kind_remove
dom_kinder_zaehlen	dom_children_count
dom_knoten_neu	dom_node_new
dom_listener_anhaengen	dom_listener_append
dom_listener_zaehlen	dom_listener_count
dom_observer_neu	dom_observer_new
dom_sammlung_auffrischen	dom_collection_auffrischen
dom_sammlung_neu	dom_collection_new
dom_scrub_tief	dom_scrub_deep
dom_wrapper_anhaengen	dom_wrapper_append
dom_zyklus_bauen	dom_cycle_build
dom_zyklus_verwerfen	dom_cycle_verwerfen
doppelte_eintraege_werden_gemeldet	doppelte_entries_werden_gemeldet
druck	print
drucke_anweisung	print_stmt
drucke_ausdruck	print_expr
drucke_binop	print_binop
drucke_block	print_block
drucke_inst	print_inst
drucke_klasse	print_class
drucke_programm	print_program
drucke_term	print_term
drucke_typ	print_type
drucke_typname	print_typname
drucke_unop	print_unop
drucken	print
dyn_schnittstelle	dyn_interface
e_art	e_kind
e_ausricht	e_align
e_groesse	e_size
e_zahl	e_number
ebene	level
eigen	own
eigene_funktion_verdeckt_das_primitiv	eigene_func_verdeckt_das_primitiv
eigene_suchen	eigene_search
eigene_wurzel	eigene_root
eigener	own
eigenes	own
ein_ausdruck	ein_expr
einbetten	inline
einfuegen	insert
eingabe	input
eingabe_pruefen	input_check
einheit	unit
eintraege	entries
eintraege_wachsen	entries_grow
eintrag	entry
einzeln	single
elem_adresse	elem_address
elem_adresse_konst	elem_address_const
element	elem
element_einfuegen_fuer_token	elem_insert_for_token
element_einfuegen_name	elem_insert_name
element_fuer_token	elem_for_token
element_ist	elem_ist
element_klonen	elem_klonen
element_name	elem_name
element_neu	elem_new
element_ns	elem_ns
elemente	elems
else_if_kette	else_if_chain
eltern	parent
eltern_aus	parent_aus
emit_roh	emit_raw
emit_zahl	emit_number
empf_adr	empf_addr
empfaenger_adresse	empfaenger_address
empfaenger_praefix	empfaenger_prefix
ende	end
ende_allgemein	end_allgemein
ende_anweisung	end_stmt
ende_blockgruppe	end_blockgruppe
ende_vorher	end_vorher
endtag_pruefen	endtag_check
entfernen	remove
enthaelt_zeichen	enthaelt_char
eof_modus	eof_mode
erfuellt_alle	erfuellt_all
ergebnis	result
erlaubt_typ	erlaubt_type
err_verworfen	err_discarded
erreicht_sich_selbst	erreicht_sich_self
ersetze_zeichen_hier	ersetze_char_hier
erst	first
erste	first
erste_teilbar	first_teilbar
erwartet	expected
erweiterungen_suchen	erweiterungen_search
erzeuge_tests	gen_tests
erzeugen	gen
ex_kern	ex_core
exp_anzahl	exp_count
exp_dazu	exp_add
f_int_setzen	f_int_set
f_rumpf	f_body
f_typ	f_type
f_werte	f_values
fach	bucket
faden	thread
faden_	thread_
faden_anzahl	thread_count
faden_blockierend_an	thread_blockierend_an
faden_blockierend_aus	thread_blockierend_aus
faden_entsperren	thread_unlock
faden_gestartet	thread_gestartet
faden_init	thread_init
faden_kanal_belegt	thread_kanal_used
faden_kanal_empfangen	thread_kanal_empfangen
faden_kanal_frei	thread_kanal_free
faden_kanal_neu	thread_kanal_new
faden_kanal_senden	thread_kanal_senden
faden_mehrfaedig	thread_mehrfaedig
faden_safepoint	thread_safepoint
faden_schlafen	thread_schlafen
faden_sperren	thread_lock
faden_stapel_setzen	thread_stack_set
faden_starten	thread_start
faden_tid	thread_tid
faden_warten	thread_wait
fall	case
falsch	wrong
faltbare_adressen	faltbare_addresses
farbe	color
fd_typ	fd_type
fegen	sweep
fehl	fail
fehl_wert	fail_value
fehlende_variante_ist_ein_fehler_mit_namen	fehlende_variant_ist_ein_error_mit_names
fehler	error
fehler_anmelden	error_register
fehler_beginn	error_begin
fehler_busy_auf	error_busy_auf
fehler_busy_zu	error_busy_zu
fehler_catch	error_catch
fehler_catch_setzen	error_catch_set
fehler_cb	error_cb
fehler_cb_setzen	error_cb_set
fehler_code_von	error_code_von
fehler_codes	error_codes
fehler_coerce_art	error_coerce_kind
fehler_coerce_offen	error_coerce_offen
fehler_coerce_setzen	error_coerce_set
fehler_ctor_code	error_ctor_code
fehler_ctor_pruefen	error_ctor_check
fehler_dann_weiterlexen	error_dann_weiterlexen
fehler_fehler	error_error
fehler_frei	error_free
fehler_hinweis	error_note
fehler_in_zwei_funktionen	error_in_zwei_funcs
fehler_ist_catchname	error_ist_catchname
fehler_ist_ergebnisname	error_ist_ergebnisname
fehler_ist_tryname	error_ist_tryname
fehler_menge_anzahl	error_set_count
fehler_menge_dazu	error_set_add
fehler_menge_finden	error_set_find
fehler_mit_hinweis	error_mit_note
fehler_name_teilen	error_name_split
fehler_neu	error_new
fehler_ort	error_ort
fehler_pending_dazu	error_pending_add
fehler_platzhalter	error_platzhalter
fehler_return	error_return
fehler_ruhig_set	error_ruhig_set
fehler_schluss	error_final
fehler_set_bei_struct	error_set_bei_struct
fehler_set_typ	error_set_type
fehler_set_von_typ	error_set_von_type
fehler_structphase	error_structphase
fehler_try	error_try
fehler_try_setzen	error_try_set
fehler_typ	error_type
fehler_u_set	error_u_set
fehler_u_sidx	error_u_sidx
fehler_u_valty	error_u_valty
fehler_u_voff	error_u_voff
fehler_union_bauen	error_union_build
fehler_union_bei_struct	error_union_bei_struct
fehler_union_typ	error_union_type
fehler_union_von_typ	error_union_von_type
fehler_variante_dazu	error_variant_add
fehler_verlassen	error_verlassen
fehler_von	error_von
fehlt	missing
feld	field
feld_anfang	field_start
feld_dazu	field_add
feld_name	field_name
feld_typ	field_type
feld_typ_von	field_type_von
feld_versatz	field_versatz
felder	fields
fertig	done
fidx_stapel	fidx_stack
fin_scheibe_max	fin_slice_max
finalisierer	finalizer
finalisierer_default	finalizer_default
finde	find
finde_ab	find_ab
finde_nicht_aus	find_nicht_aus
finde_rueck	find_rueck
finde_zeichen	find_char
finde_zeichen_ab	find_char_ab
finde_zeichen_rueck	find_char_rueck
finden	find
fir_frei	fir_free
fir_neu	fir_new
fir_vergleich	fir_compare
firn806_zeilen	firn806_lines
firnlib_pfad	firnlib_path
flagge_setzen	flagge_set
float_rest	float_rest
fmt_anhaengen	fmt_append
fmt_druck	fmt_print
fmt_druck_zeile	fmt_print_line
fmt_eprint_zeile	fmt_eprint_line
fmt_frei	fmt_free
fmt_in_datei	fmt_in_file
fmt_inhalt	fmt_content
fmt_neu	fmt_new
fmt_zahl	fmt_number
fmt_zeichen	fmt_char
fmt_zeile	fmt_line
fn_anzahl	fn_count
fn_dazu	fn_add
fn_neu	fn_new
fn_nummer	fn_number
fn_rumpf	fn_body
fn_suchen	fn_search
fn_vorlage	fn_template
fn_vorlage_finden	fn_template_find
fn_vorlagen_der_datei	fn_vorlagen_der_file
for_anweisung	for_stmt
fortschritt	progress
fragment_neu	fragment_new
frei	free
freigaben	releases
freigeben	free
fuehre_bloecke_aus	fuehre_blocks_aus
fuelle_rechts	fuelle_right
fuer	for
funktion	func
fv_rumpf	fv_body
ganz	whole
gc_anmelden	gc_register
gc_anzahl	gc_count
gc_as_pruefen	gc_as_check
gc_basis_setzen	gc_basis_set
gc_baum	gc_tree
gc_fehler	gc_error
gc_feld_basis	gc_field_basis
gc_feld_dazu	gc_field_add
gc_finalisierer_art	gc_finalizer_kind
gc_finalisierer_loeschen	gc_finalizer_delete
gc_finalisierer_setzen	gc_finalizer_set
gc_frei	gc_free
gc_hat_as_praefix	gc_has_as_prefix
gc_hat_klassen	gc_has_classes
gc_hat_neu_praefix	gc_has_new_prefix
gc_ist_alloc_aufruf	gc_ist_alloc_call
gc_ist_gc_zeiger	gc_ist_gc_ptr
gc_ist_klasse	gc_ist_class
gc_ist_stark_name	gc_ist_strong_name
gc_klasse_aus_as	gc_class_aus_as
gc_klasse_aus_neu	gc_class_aus_new
gc_klasse_dazu	gc_class_add
gc_klasse_von_struct	gc_class_von_struct
gc_klasse_von_weak	gc_class_von_weak
gc_laufzeit	gc_runtime
gc_laufzeit_setzen	gc_runtime_set
gc_mess	gc_meas
gc_neu	gc_new
gc_neu_pruefen	gc_new_check
gc_pause_max_typ	gc_pause_max_type
gc_pause_ns_fin_max	gc_pause_ns_fin_max
gc_pause_ns_last	gc_pause_ns_last
gc_pause_ns_max	gc_pause_ns_max
gc_pause_ns_total	gc_pause_ns_total
gc_probe_typ	gc_probe_type
gc_quelle_scan	gc_source_scan
gc_sammeln	gc_collect
gc_sammlung_args	gc_collection_args
gc_schwach_anzahl	gc_weak_count
gc_schwach_off	gc_weak_off
gc_schwach_pruefen	gc_weak_check
gc_set_scheibe	gc_set_slice
gc_sperre_wartungen	gc_lock_wartungen
gc_stapel_saeubern	gc_stack_saeubern
gc_stark_anzahl	gc_strong_count
gc_stark_off	gc_strong_off
gc_stw_arbeit_max	gc_stw_work_max
gc_tabelle	gc_table
gc_typ_arg	gc_type_arg
gc_typ_haken	gc_type_haken
gc_union_setzen	gc_union_set
gc_wort	gc_word
gc_wurzel_abmelden	gc_root_abmelden
gc_wurzel_anmelden	gc_root_register
gcmap_entfernen	gcmap_remove
gcmap_groesse	gcmap_size
gcmap_hat	gcmap_has
gcmap_holen	gcmap_get
gcmap_holen_wert	gcmap_get_value
gcmap_kapazitaet	gcmap_capacity
gcmap_leeren	gcmap_clear
gcmap_neu	gcmap_new
gcmap_platz_belegt	gcmap_slot_used
gcmap_platz_schluessel	gcmap_slot_key
gcmap_platz_wert	gcmap_slot_value
gcmap_platz_wert_als	gcmap_slot_value_als
gcmap_setzen	gcmap_set
gcmap_setzen_wert	gcmap_set_value
gctext_schreiben	gctext_write
gcvec_abhaengen_roh	gcvec_abhaengen_raw
gcvec_anhaengen	gcvec_append
gcvec_anhaengen_roh	gcvec_append_raw
gcvec_entfernen	gcvec_remove
gcvec_finden	gcvec_find
gcvec_finden_roh	gcvec_find_raw
gcvec_kapazitaet	gcvec_capacity
gcvec_laenge	gcvec_length
gcvec_leeren	gcvec_clear
gcvec_lesen	gcvec_read
gcvec_lesen_roh	gcvec_read_raw
gcvec_neu	gcvec_new
gcvec_neu_roh	gcvec_new_raw
gcvec_platz	gcvec_slot
gcvec_setzen	gcvec_set
gcvec_setzen_roh	gcvec_set_raw
gefaerbt	colored
gefunden	found
geheimer_wert_bleibt_unberuehrt	geheimer_value_bleibt_unberuehrt
gemessen	measured
gen_fehler	gen_error
gen_fn_anzahl	gen_fn_count
gen_fn_vorlage	gen_fn_template
gen_frei	gen_free
gen_if_setzen	gen_if_set
gen_in_vorlage	gen_in_template
gen_inst_anzahl	gen_inst_count
gen_lauf	gen_run
gen_namen	gen_names
gen_neu	gen_new
gen_struct_anzahl	gen_struct_count
gen_struct_vorlage	gen_struct_template
gen_summe	gen_sum
gen_tiefe_auf	gen_depth_auf
gen_tiefe_zu	gen_depth_zu
gen_tp_anfang	gen_tp_start
gen_tp_dazu	gen_tp_add
gen_tp_schranke_dazu	gen_tp_schranke_add
geprueft_werden_name_version_pfad	geprueft_werden_name_version_path
gesperrtes_register_wird_benannt	gesperrtes_register_wird_benannt
gewicht	weight
gleich	equal
gleich_ohne_fall	equal_ohne_case
gleiche_datei	gleiche_file
gleit_wert	gleit_value
grab	tombstone
grenze	limit
groesse	size
groesse_anfordern	size_anfordern
groesse_von	size_von
gross	big
gross_hier	big_hier
gross_klein	big_small
gross_zeichen	big_char
grosse_structs_ueber_speicher	grosse_structs_ueber_memory
grund	basic
grund_ausdruck	basic_expr
grund_mal	basic_mal
h_pfad	h_path
h_selbst	h_self
haelt	holds
hat	has
hat_allocerror	has_allocerror
hat_catchall	has_catchall
hat_errdefer	has_errdefer
hat_f	has_f
hat_fadenarbeit	has_fadenarbeit
hat_fe	has_fe
hat_finalisierer	has_finalizer
hat_gc	has_gc
hat_gen	has_gen
hat_hin	has_hin
hat_if	has_if
hat_interrupt	has_interrupt
hat_key	has_key
hat_klassen	has_classes
hat_mu	has_mu
hat_name	has_name
hat_no_gc	has_no_gc
hat_no_gc_erkennt_das_attribut	has_no_gc_erkennt_das_attr
hat_praefix	has_prefix
hat_pubid	has_pubid
hat_schnittstellen	has_schnittstellen
hat_self	has_self
hat_start	has_start
hat_sysid	has_sysid
hat_type_attribut	has_type_attr
hat_version	has_version
hat_w	has_w
hat_zeit	has_time
hat_ziel	has_target
haupt	main
heap_allokationen	heap_allocations
heap_frei	heap_free
heap_freigaben	heap_releases
heap_lebende	heap_live
heap_leer	heap_empty
heben	raise
hinweis	note
holen	get
i32__kleiner	i32__less
i_art	i_kind
i_art_von	i_kind_von
i_pfad	i_path
i_zahl	i_number
i_zahl_von	i_number_von
if_anmelden	if_register
if_anweisung	if_stmt
if_anzahl	if_count
if_dazu	if_add
if_fehler	if_error
if_frei	if_free
if_hat	if_has
if_methode_dazu	if_methode_add
if_neu	if_new
if_pruefen	if_check
if_tafel	if_table
if_u_anzahl	if_u_count
if_umsetzung_dazu	if_umsetzung_add
iface_dyn_in_gc_klasse	iface_dyn_in_gc_class
imp_anzahl	imp_count
imp_dazu	imp_add
