abasis	abase
besuche	visit
betrag	abs
betroffen	affected
bewegen	move
bewegt	moved
bewegungen	moves
bezug	ref
binaer	binary
binaersuche	binary_search
binden	bind
bindestrich	hyphen
bindung	binding
bis	to
bisher	sofar
blatt	leaf
blau	blue
bleiben	stay
bleibt	stays
blockadr	block_addr
blockgruppe	block_group
blockierend	blocking
blockiert	blocked
blockkommentar	block_comment
bloecke	blocks
boden	bottom
brauche	need
braucht	needs
breit	wide
breite	width
bricht	breaks
bsp	example
buch	book
buche	record
buchen	record
buchst	letter
buchstabe	letter
buchstaeblich	literal
coart	cokind
codepunkt	code_point
couni	couni
ctfehl	cterr
ctschlecht	ctbad
dach	roof
dahinter	behind
danach	after
dann	then
daraus	from
darf	may
das	the
datei	file
dateien	files
dateilaenge	file_len
dateiname	file_name
daten	data
datendatei	data_file
dauer	duration
davor	before
dazu	add
deklaration	decl
dekodiere	decode
dem	the
den	the
der	the
des	the
deskriptor	descriptor
dez	dec
dicht	dense
dichte	density
dichter	denser
die	the
differenz	diff
digitcount	digit_count
ding	thing
dnamen	dnames
doesnotexist	does_not_exist
dok	doc
doku	doc
dokument	document
doppel	double
doppelpunkt	colon
doppelt	duplicate
doppelte	duplicate
doppelter	duplicate
dquelle	dsource
drin	inside
druck	print
drucke	print
drucken	print
durch	by
durchgang	pass
durchlauf	pass
durchreichen	passthrough
ebene	level
ebenen	levels
echt	real
echte	real
echter	real
ecke	corner
eckensumme	corner_sum
ecksumme	corner_sum
eigen	own
eigene	own
eigener	own
eigenes	own
ein	in
einbetten	inline
eindeutig	unique
eine	a
einem	a
einen	a
eines	a
einfach	simple
einfache	simple
einfaches	simple
einfuegemodus	insert_mode
einfuegen	insert
eing	in
eingabe	input
eingang	entry
eingebettet	embedded
eingefuegt	inserted
einheit	unit
einheiten	units
einmal	once
einreihen	enqueue
einrueckung	indent
eins	one
einsam	lonely
einsprung	entry
einstieg	entry
eintraege	entries
eintrag	entry
einzeln	single
einzug	indent
element	elem
elemente	elems
eltern	parent
emissionsreihenfolge	emit_order
empf	recv
empfaenger	receiver
empfangen	receive
ende	end
endet	ends
endlich	finite
endlos	endless
endung	extension
entferne	remove
entfernen	remove
entfernt	removed
enthaelt	contains
entkommender	escaping
entkommt	escapes
entschluessele	decode
entsperren	unlock
erfolg	success
erfuellt	satisfied
erg	res
ergaenzen	amend
ergebnis	result
ergebnisname	resultname
erhalten	keep
erhoehen	increase
erkannt	recognized
erkennt	recognizes
erlaubt	allowed
erreicht	reaches
ersatz	replacement
ersetze	replace
ersetzen	replace
ersetzt	replaced
erst	first
erste	first
erstem	first
erster	first
erstes	first
erwarte	expect
erwartet	expected
erwartung	expectation
erweiterungen	extensions
erzeuge	gen
erzeugen	gen
erzeugt	generated
erzeugte	generated
fach	bucket
faden	thread
fadenarbeit	thread_work
faedeln	threading
faeden	threads
faelle	cases
fahre	run
fak	fact
faktor	factor
fakultaet	factorial
fall	case
falsch	wrong
falsche	wrong
falscher	wrong
falsches	wrong
faltbare	foldable
falten	fold
faltet	folds
farbe	color
fassade	facade
faul	lazy
fegen	sweep
fehl	fail
fehlbar	fallible
fehlbare	fallible
fehlen	missing
fehlend	missing
fehlende	missing
fehler	error
fehlercode	error_code
fehlerliste	error_list
fehlermenge	error_set
fehlername	error_name
fehlerpfad	error_path
fehlerquelle	error_source
fehlertexte	error_texts
fehlerunion	error_union
fehlt	missing
fehlzeichen	bad_char
feld	field
felder	fields
feldname	field_name
feldtyp	field_ty
fernster	farthest
fertig	done
fest	fixed
festlegen	define
fgrenze	flimit
fhelfer	fhelper
finalisiere	finalize
finalisierer	finalizer
finalisierern	finalizers
finde	find
finden	find
findet	finds
flach	flat
flaeche	area
flagge	flag
flaggen	flags
fluss	flow
flwert	flvalue
fnamen	fnames
folgeoktett	cont_byte
formatierung	formatting
fortlaufend	continuous
fortschritt	progress
frage	question
frak	frac
frei	free
freie	free
freigabe	release
freigaben	releases
freigeben	free
freiliste	freelist
freistehend	freestanding
fremd	foreign
fremder	foreign
friss	eat
ftypen	ftypes
fuehre	run
fuell	fill
fuelle	fill
fuellen	fill
fueller	filler
fuellung	fill
fuer	for
fund	hit
funktion	func
funktionen	funcs
ganz	whole
ganzzahl	int
ganzzahlen	ints
gbaum	gtree
gckern	gccore
gcneu	gcnew
gebunden	bound
gefaedelt	threaded
gefaerbt	colored
gefaltet	folded
gefangen	caught
gefuellt	filled
gefunden	found
gegen	against
geheimer	secret
geladen	loaded
gelaufen	ran
gelb	yellow
gelesen	read
gelesene	read
gemeinsam	shared
gemeldet	reported
gemerkt	remembered
gemessen	measured
gemischt	mixed
genauso	likewise
generik	generics
generisch	generic
genullt	zeroed
geprueft	checked
gerade	even
gerufen	called
ges	total
gesamt	total
gescannt	scanned
geschaltet	switched
geschlossen	closed
geschrieben	written
geschriebene	written
gesehen	seen
gesendet	sent
gesetzt	set
gesichert	saved
gesperrt	locked
gesperrtes	locked
gestartet	started
geteilt	split
getrennt	separate
getroffen	hit
gewicht	weight
gezaehlt	counted
gfehl	gerr
gibt	gives
gibtesnicht	does_not_exist
gleich	equal
gleiche	same
gleit	float
gleitkomma	float
gleitwechsel	floatswitch
glied	member
gnamen	gnames
gowrong	go_wrong
grab	tombstone
grenze	limit
grenzen	limits
griff	handle
groesse	size
groesser	greater
groesster	largest
gross	big
grossbuchstabe	upper_letter
grosse	big
grstellen	grdigits
gruen	green
gruendlich	thorough
grund	basic
grundliste	base_list
grundtyp	base_ty
gruss	greeting
gueltig	valid
gueltiges	valid
gut	good
haelt	holds
haenge	hang
haengen	hang
haenger	hanger
haken	hook
halb	half
halbiere	halve
hallo	hello
halten	hold
halter	holder
hand	hand
hat	has
hatte	had
haupt	main
hauptprogramm	main_program
hebbare	hoistable
hebe	hoist
heben	raise
heiss	hot
hexwert	hex_value
hexziffer	hex_digit
hier	here
hilf	help
hilfe	help
hin	to
hinten	back
hinweis	note
hoch	high
hoechst	highest
hoehe	height
hol	get
hole	get
holen	get
howmuch	how_much
howoften	how_often
identitaeten	identities
iliste	ilist
im	in
implizit	implicit
implizite	implicit
inhalt	content
inkl	incl
inkr	incr
innen	inner
innenpfad	inner_path
interne	internal
invariante	invariant
invarianter	invariant
invers	inverse
ist	is
izahl	inum
jetzt	now
kalt	cold
kanal	channel
kand	cand
kandidat	candidate
kandidaten	candidates
kann	can
kanon	canon
kante	edge
kanten	edges
kap	cap
kapazitaet	capacity
kaputt	broken
karten	maps
kein	no
keine	no
keinen	no
kennt	knows
kennung	id
kennzahlen	metrics
kern	core
kette	chain
ketten	chains
kettenweise	chained
kinder	children
kladde	scratch
klammer	paren
klammern	parens
klasse	class
klassen	classes
klassenname	class_name
klein	small
kleinbuchstabe	lower_letter
kleine	small
kleiner	less
kleineres	smaller
kleinstes	smallest
klonen	clone
klotz	chunk
knapp	tight
knoten	node
koepfe	headers
koerper	body
koerperkontext	body_context
komma	comma
kommas	commas
kommentar	comment
kommentare	comments
kommt	comes
konkret	concrete
konst	const
konstruktion	construction
konto	account
kopf	header
kopie	copy
kopiere	copy
kopieren	copy
korrekt	correct
kreis	circle
krumm	crooked
kuerzen	shorten
kurz	short
kurzschluss	short_circuit
lade	load
laden	load
laen	len
laenge	length
laengen	lengths
laeufe	runs
laeuft	runs
landet	lands
lang	long
langsam	slow
lassen	let
lauf	run
laufen	run
laufzeit	runtime
leb	live
lebbytes	live_bytes
lebend	live
lebende	live
lebendk	livek
lebendmenge	live_set
lebt	lives
leck	leak
leer	empty
leere	empty
leeren	clear
leeres	empty
leerraum	whitespace
leerz	blank
leerzeilen	blank_lines
lege	put
legt	puts
lehnt	rejects
lesbar	readable
lese	read
lesen	read
lesezeichen	bookmark
lesezugriffe	reads
letzt	last
letzte	last
letzter	last
letztes	last
lexikalisch	lexical
lgrenze	llimit
liegt	lies
lies	read
liest	reads
links	left
liste	list
listen	lists
loecher	holes
loesche	delete
loeschen	delete
loesen	solve
lok	loc
lokal	local
loslassen	release
luecke	gap
lwert	lvalue
mach	make
macht	makes
mag	likes
mal	times
male	times
marke	mark
markensumme	mark_sum
markieren	mark
markiert	marked
markierter	marked
markierung	marking
maske	mask
maskiert	masked
maskierung	masking
maskierungen	maskings
mathe	math
maximal	max
meckern	complain
mehr	more
mehrdeutig	ambiguous
mehrere	several
mehrfach	multi
mehrfaedig	multithreaded
mein	my
meine	my
melde	report
melden	report
meldet	reports
meldung	message
menge	set
mengen	sets
merke	remember
merken	remember
mess	meas
messen	measure
messung	measurement
methode	method
methoden	methods
methodenaufruf	method_call
methodenfunktion	method_func
methodenkopf	method_head
methodenname	method_name
methodenpraefix	method_prefix
methodenruf	method_call
methodenrufname	method_call_name
mindest	min
mindestens	atleast
misch	mix
mische	mix
mit	with
mitte	mid
mittel	mid
modul	module
modulliste	module_list
modulname	module_name
modulpfad	module_path
modus	mode
moeglich	possible
moeglicher	possible
mpfad	mpath
mquelle	msource
muell	garbage
multiplikation	multiplication
multithreaded	multi_threaded
mus	pat
muster	pattern
mverz	mdir
nach	after
nachfahre	descendant
nachfuellen	refill
nachfuellungen	refills
nachgeben	yield
nachher	after
nachschlagen	lookup
nachtraeglich	later
nachtrag	addendum
nachtragen	catchup
naechst	next
naechste	next
naechster	next
naechstes	next
naeher	closer
nahe	near
naktiv	nactive
namen	names
namensdoppel	name_dup
namenskonflikt	name_clash
natuerliche	natural
nbasis	nbase
negativ	negative
negative	negative
nehmen	take
nein	no
nennt	names
neu	new
neue	new
neuer	new
neues	new
neukap	newcap
neun	nine
nicht	not
nichts	nothing
nichtzeichen	non_char
nie	never
nimm	take
nmaske	nmask
nnach	n_after
noch	still
noetig	needed
noffen	n_open
normalisiere	normalize
normalisieren	normalize
normalisiert	normalized
nullen	zeros
numerisch	numeric
numerische	numeric
nummer	number
nur	only
nutz	use
nutzdaten	payload
nutzlast	payload
nvor	n_before
oben	top
objekt	object
oder	or
oeff	open
oeffdop	open_dup
oeffentlich	public
oeffne	open
oertliche	local
offen	open
offener	open
ohne	without
okt	oct
oktal	octal
oktett	byte
oktette	bytes
operatoren	operators
optimierer	optimizer
ordnung	order
ordnunng	order
ort	place
paar	pair
paare	pairs
paket	package
pakete	packages
paketname	package_name
paketwelt	package_world
parallele	parallel
parameterliste	param_list
parken	park
passend	matching
passende	matching
passt	fits
pause	pause
pfad	path
pfade	paths
pfeil	arrow
pflichtangaben	required
pflichtnamen	required_names
plaetze	slots
platz	slot
platzhalter	placeholder
platziert	placed
polster	padding
positionen	positions
prae	pre
praefix	prefix
praezedenz	precedence
primitiv	primitive
profil	profile
programm	program
protokoll	log
pruef	check
pruefe	check
pruefen	check
pruefer	checker
pruefphasen	check_phases
prueft	checks
ptypen	ptypes
puf	buf
puffer	buffer
punkt	dot
quadrat	square
qualifiziere	qualify
qualifiziert	qualified
quell	src
quelldatei	source_file
quelle	source
quellen	sources
quellzeile	source_line
rahmen	frame
rang	rank
raum	space
raus	out
rechen	compute
rechne	compute
rechnen	compute
rechteck	rect
rechts	right
reentranz	reentrancy
referenz	reference
regeln	rules
register	register
registern	registers
registerpfad	register_path
registriert	registered
reihe	row
reihenfolge	order
rein	pure
reines	pure
rek	rec
rekursion	recursion
relativ	relative
reserviere	reserve
rest	rest
restgrenze	rest_limit
riesig	huge
roh	raw
rohtext	raw_text
rot	red
rueck	back
rueckgabe	ret
rueckgaben	rets
rueckwaerts	backward
ruf	call
rufart	call_kind
rufziel	call_target
ruhig	quiet
rumpf	body
rund	round
runde	round
runden	rounds
rundlauf	roundtrip
saeubern	clean
sammeln	collect
samml	coll
sammle	collect
sammler	collector
sammlung	collection
sammlungen	collections
satz	set
sauber	clean
scannen	scan
schalter	flag
schau	look
scheibe	slice
schiebe	shift
schiefgehen	gowrong
schlaegt	fails
schlafe	sleep
schlafen	sleep
schlecht	bad
schleife	loop
schleifen	loops
schleifenrumpf	loop_body
schleifenzaehler	loop_counter
schliesse	close
schliessen	close
schluessel	key
schluss	final
schmal	narrow
schmale	narrow
schmales	narrow
schnell	fast
schnitt	cut
schnittstelle	interface
schnittstellen	interfaces
schon	already
schranke	bound
schranken	bounds
schrei	write
schreib	write
schreibe	write
schreiben	write
schreibziel	write_target
schritt	step
schritte	steps
schwach	weak
schwachverweis	weak_ref
schwanz	tail
schwarz	black
sechs	six
seit	since
seite	page
seiten	pages
seiteneffekte	side_effects
seitengroesse	page_size
selbe	same
selbst	self
selbsttest	self_test
semikolon	semicolon
senden	send
senken	lower
sequenz	sequence
serie	series
seriell	serial
setz	set
setze	set
setzen	set
setzt	does
shortcircuit	short_circuit
sich	itself
sicht	view
sieben	seven
siebten	seventh
signatur	signature
signifikante	significant
sind	are
skalar	scalar
skalare	scalars
skaliere	scale
sliste	slist
sofar	so_far
sofort	immediately
soll	should
sonderknoten	special_node
sonst	else
sortiere	sort
sortiert	sorted
spaehe	peek
spaeter	later
spalte	col
spalten	cols
spanne	span
speicher	memory
speichere	store
speichern	store
speicheroperanden	mem_operands
speicherzugriff	mem_access
spellout	spell_out
sperre	lock
sperren	lock
speziell	special
sprung	jump
sprungtabelle	jump_table
spur	trace
stamm	stem
stand	state
stapel	stack
stapelargumente	stack_args
stapelwert	stack_value
stark	strong
starten	start
startzustand	start_state
stbreite	st_width
stehen	stand
stelle	site
stellen	digits
stellenzahl	digit_count
stelligkeit	arity
steuerzeichen	control_char
stil	style
stimmen	match
stimmt	matches
stirbt	dies
stoere	disturb
stoert	disturbs
strang	strand
streifen	stripes
streng	strict
streu	hash
streuwert	hashvalue
strich	dash
strom	stream
structfeld	struct_field
struktur	structure
stueck	piece
stufe	stage
subjekt	subject
suche	search
suchen	search
suchlauf	scan
suchpfad	search_path
suchpfade	search_paths
suchraum	search_space
summe	sum
surrogat	surrogate
tabelle	table
tabellenkontext	table_context
tabulatoren	tabs
tafel	table
tafeln	tables
tafelschluessel	table_key
tart	tkind
tausch	swap
tausche	swap
tauschen	swap
teil	part
teilbar	divisible
teile	parts
teilen	split
teiler	divisor
teilweise	partial
terminiert	terminated
tfeld	tfield
tief	deep
tiefe	depth
tippfehler	typo
tokenstrom	token_stream
tokenzahl	token_count
tor	gate
tot	dead
treffer	hit
treiber	driver
trenn	split
trenner	sep
trimme	trim
trotz	despite
typ	ty
typargumente	ty_args
typen	types
typname	ty_name
typparameterliste	ty_param_list
typtabelle	ty_table
typtext	ty_text
ueb	ov
ueber	over
ueberlaeufe	overflows
ueberlauf	overflow
ueberlebt	survives
uebernehmen	take
ueberschreibung	override
ueberschrift	heading
ueberschuss	excess
uebersetzbar	compilable
uebersetze	compile
uebersetzen	compile
uebersetzt	compiled
uebersetzungszeit	comptime
ueberspringe	skip
ueberspringen	skip
uebersprungen	skipped
uebrig	left
uhr	clock
um	impl
umbenannt	renamed
umbruch	break
umfang	extent
umg	env
umgebung	env
umgesetzt	implemented
umgesetzte	implemented
umgesetzter	implemented
umgewandelt	converted
umhaengen	relink
umkehren	invert
umschalten	toggle
umschaltung	switching
umschreiben	rewrite
umsetzung	impl
umwandelbar	convertible
umwandlung	conversion
umweg	detour
unaer	unary
unanfechtbar	irrefutable
unangetastet	untouched
unbekannt	unknown
unbekannte	unknown
unbekannter	unknown
unbekanntes	unknown
unbenutzt	unused
unbenutzte	unused
unbenutztem	unused
unberuehrt	untouched
und	and
undurchsichtig	opaque
unendlich	infinite
unerreichbaren	unreachable
ungeeignet	unsuitable
ungepaart	unpaired
ungepaartes	unpaired
ungerade	odd
unmarkierte	unmarked
unsignierte	unsigned
unten	below
unter	under
untere	lower
unterstuetzt	supported
urmodus	basemode
uwert	uvalue
variante	variant
varianten	variants
veraenderlich	mutable
veraenderliche	mutable
verarbeite	process
verarbeiten	process
verbietet	forbids
verbinde	join
verbinden	join
verboten	forbidden
verbraucht	consumed
verbunden	joined
verdeckt	shadowed
verdoppeln	double
verdopple	double
vergleich	compare
vergleiche	compare
vergleichskette	compare_chain
verhindert	prevents
verlassen	leave
vermerke	notes
vers	ver
versand	dispatch
versatz	offset
verschachtelt	nested
verschachtelung	nesting
verschieben	move
verschiebung	shift
verschieden	different
verschiedene	different
verschmelzbar	mergeable
verschmolzen	merged
verschoben	moved
verschwindet	vanishes
versteckt	hidden
versuche	try
versucht	tries
vertraeglich	compatible
vertrag	contract
verwandt	related
verweis	ref
verwerfen	discard
verworfen	discarded
verz	dir
verzeichnis	dir
verzweigung	branch
vgl	cmp
viele	many
vielleicht	maybe
vier	four
voll	full
volle	full
vollstaendig	complete
vollstaendiges	complete
von	of
vor	before
vorab	upfront
vorfahr	ancestor
vorgabe	default
vorhanden	present
vorher	before
vorheriges	previous
vorige	previous
vorkopf	preheader
vorladen	preload
vorlader	preloader
vorlage	template
vorlagen	templates
vormerken	reserve
vorn	front
vorne	front
vorschlag	proposal
vorz	sign
vorzeichen	sign
wache	guard
wachse	grow
wachsen	grow
waechter	guard
waehle	choose
wahl	choice
wahr	true
wandeln	convert
wandert	moves
war	was
warte	wait
warten	wait
wartend	waiting
wartet	waits
wartungen	maintenance
was	what
wecken	wake
weg	away
weiche	fork
weichen	forks
weiss	white
weite	extent
weiter	next
weitergeleitet	forwarded
weiterleitung	forwarding
weiterlexen	relex
weitermachen	resume
welche	which
welt	world
wenn	if
wer	who
werden	become
wert	value
werte	values
wertquelle	value_source
whatfor	what_for
wickeln	wrap
widerspruch	contradiction
wie	how
wieder	again
wiederbelebung	resurrection
wiederherstellen	restore
wiederhole	repeat
wiederholen	repeat
wiederholung	repeat
wieoft	howoften
wieviel	howmuch
winzig	tiny
wird	becomes
wirt	host
wnamen	wnames
woerter	words
wort	word
worte	words
wortgroesse	word_size
wortliste	word_list
wozu	whatfor
wtypen	wtypes
wurzel	root
wurzeln	roots
wurzelverz	root_dir
zaehl	count
zaehle	count
zaehlen	count
zaehler	counter
zaehlmodus	count_mode
zaehlung	count
zaehlverweis	ref_count
zahl	number
zahlen	numbers
zahlencheck	number_check
zehn	ten
zeichen	char
zeichenbasiert	char_based
zeichenfund	char_hit
zeichenzahl	char_count
zeichnen	draw
zeichner	drawer
zeig	show
zeigbar	showable
zeige	show
zeigen	show
zeiger	ptr
zeigerargument	ptr_arg
zeigeroperationen	ptr_ops
zeigt	shows
zeile	line
zeilen	lines
zeilenanfang	line_start
zeilenende	line_end
zeilenkontext	line_context
zeilenleser	line_reader
zeilenstart	line_start
zeit	time
zeitbudget	time_budget
zelle	cell
zellen	cells
zerstoert	destroys
ziel	target
zielb	targetb
ziele	targets
zielsl	targetsl
ziffer	digit
ziffern	digits
ziffernwert	digit_value
ziffernzahl	digit_count
zu	too
zuerst	first
zugehoerigkeit	membership
zugriff	access
zugriffe	accesses
zum	to
zur	to
zurechtgestutzt	trimmed
zurueck	back
zurueckgeholt	retrieved
zuruecksetzen	reset
zusaetze	extras
zusaetzliche	extra
zusammen	merge
zusammengelegt	merged
zusammenlegen	merging
zusammenspiel	interplay
zusatz	extra
zustaenden	states
zustand	state
zustandsname	state_name
zuviel	too_much
zuweisbar	assignable
zuweisung	assign
zwei	two
zweierpotenz	pow_two
zweig	branch
zweimal	twice
zweit	second
zweite	second
zweiten	second
zweiter	second
zwischen	between
zwischenwerte	intermediates
zyk	cycle
zyklen	cycles
zyklus	cycle
sammelt	collects
abfrage	query
begrenzt	limited
objekte	objects
marken	marks
kleinbuchstaben	lowercase
je	per
stichprobe	sample
zyklen	cycles
leck	leak
sek	sec
verifiziere	verify
testdaten	testdata
berichte	reports
liesmich	readme
zustandsmaschine	state_machine
anforderung	requirement
ausfall	failure
luecken	gaps
bekannte	known
zeichenreferenzen	character_references
fehlerunionen	error_unions
orakel	oracle
abweichung	deviation
