AF_FAEDEN	AF_THREADS
S_PMAX_VOLL	S_PMAX_FULL
S_SCHEIBE	S_SLICE
S_SEIT	S_SINCE
S_SERIE	S_SERIES
S_SPERRE	S_LOCK
S_STW_ARBEIT_MAX	S_STW_WORK_MAX
S_STW_WARTE	S_STW_WAIT
S_TABELLE	S_TABLE
S_UEBERLAUF	S_OVERFLOW
S_VOLL	S_FULL
S_WROOT_KAP	S_WROOT_CAP
S_ZEIT	S_TIME
TAFEL_LABEL	TABLE_LABEL
TB_F_HAT_NAME	TB_F_HAS_NAME
TB_F_HAT_PUBID	TB_F_HAS_PUBID
TB_F_HAT_SYSID	TB_F_HAS_SYSID
TEILER	DIVISOR
TEILER_LEERRAUM	DIVISOR_WHITESPACE
TEILER_TRENNER	DIVISOR_SEP
TIEFE	DEPTH
TRENNER	SEP
TYPEN	TYPES
UCD_ZEILEN	UCD_LINES
VORGABE_BUDGET_MS	DEFAULT_BUDGET_MS
VORGABE_RUNDEN	DEFAULT_ROUNDS
WERTE	VALUES
ZEIT_BUDGET_NS	TIME_BUDGET_NS
ZEIT_PROBE	TIME_PROBE
ZELLEN	CELLS
ZYKLEN_MAX	CYCLES_MAX
Z_ANZAHL	Z_COUNT
Z_BLOCKIERT	Z_BLOCKED
Z_FEHLER	Z_ERROR
Z_FREI	Z_FREE
Z_KANAL	Z_CHANNEL
Z_MIT	Z_WITH
Z_OHNE	Z_WITHOUT
Z_RUNDEN	Z_ROUNDS
Z_SUMME	Z_SUM
Z_TOT	Z_DEAD
Zu	Off
atleast	at_least
can_gowrong	can_go_wrong
defer_level_zu	defer_level_off
error_busy_zu	error_busy_off
fe_sofar	fe_so_far
frame_zu	frame_off
gc_sofar	gc_so_far
gen_depth_zu	gen_depth_off
howmuch	how_much
howoften	how_often
if_sofar	if_so_far
im	imp
im_reg	in_reg
im_term	in_term
je	per
lang	long
load_after_store_becomes_im_block_forwarded	load_after_store_becomes_in_block_forwarded
loc_zu	loc_off
loop_counter_lands_im_register	loop_counter_lands_in_a_register
many_parameter_stay_im_register_path	many_parameter_stay_in_register_path
membership_zu_a_package	membership_to_a_package
names_become_je_module_different	names_become_per_module_different
node_je_round	node_per_round
range_zu	range_off
spellout	spell_out
text_zu_f64	text_to_f64
text_zu_f64_bits	text_to_f64_bits
text_zu_i64	text_to_i64
text_zu_u64	text_to_u64
text_zu_u64_auto	text_to_u64_auto
text_zu_u64_base	text_to_u64_base
thread_multithreaded	thread_multi_threaded
tree_um_delete	tree_sw_delete
tree_um_pos	tree_sw_pos
tree_um_tag	tree_sw_tag
um_pos	sw_pos
um_tag	sw_tag
value_im_arc	value_in_arc
whatfor	what_for
zu	too
zu_big	too_big
zu_big_number	too_big_number
zu_small	too_small
