Abbruch	Abort
__gc_fin_scheibe	__gc_fin_slice
__gc_finalisiere	__gc_finalize
__gc_hexziffer	__gc_hex_digit
__gc_hist_buche	__gc_hist_record
__gc_hole_block	__gc_get_block
__gc_hole_block_lokal	__gc_get_block_local
__gc_jetzt_ns	__gc_now_ns
__gc_klasse_fuer	__gc_class_for
__gc_klassen_bytes	__gc_classes_bytes
__gc_nachtragen	__gc_catchup
__gc_pause_buche	__gc_pause_record
__gc_pause_buche_fin	__gc_pause_record_fin
__gc_pause_buche_h	__gc_pause_record_h
__gc_schrei	__gc_write
__gc_scrub_tief	__gc_scrub_deep
__gc_sp_unten	__gc_sp_below
__gc_stapel_boden	__gc_stack_bottom
__gc_stapel_boden_maps	__gc_stack_bottom_maps
__gc_stw_aus	__gc_stw_out
__gc_sweep_schritt	__gc_sweep_step
__gc_weak_maske	__gc_weak_mask
__gc_weak_saeubern	__gc_weak_clean
__gc_weak_tot	__gc_weak_dead
__gc_weak_vorhanden	__gc_weak_present
__gc_wroot_platz	__gc_wroot_slot
__gc_wurzeln_scannen	__gc_roots_scan
__gc_zyklus_ende	__gc_cycle_end
__gc_zyklus_fertig	__gc_cycle_done
__gc_zyklus_schritt	__gc_cycle_step
__gc_zyklus_start	__gc_cycle_start
__gcmap_platz	__gcmap_slot
__gcmap_wachsen	__gcmap_grow
__gcslots_adr	__gcslots_addr
__gcslots_neu	__gcslots_new
_unbenutzt	_unused
a_pfad	a_path
a_zeile	a_line
ab_datei	ab_file
ab_wurzel	ab_root
abasis	abase
abgebrochen	aborted
abgedeckt	covered
abhaengig	dependent
abhaengiger_wert_bleibt_drin	dependent_value_stays_inside
abi_klasse	abi_class
ablegen	store
abs_datei	abs_file
absolut	absolute
absolut_	absolute_
absolut_und_cwd	absolute_and_cwd
absoluter_pfad	absolute_path
abstand	distance
abstrakt	is_abstract
add_ausdruck	add_expr
add_ueber_rax	add_over_rax
adr	addr
adr_a	addr_a
adr_b	addr_b
adr_y	addr_y
adresse	address
adressrechnung_wandert_in_den_speicheroperanden	addressing_moves_in_the_mem_operands
aendere	change
af_seite	af_page
aggregate_parameter_ist_erlaubt	aggregate_parameter_is_allowed
ahn	ancestor
akt	cur
aktiv	active
aktiv_bis_marke_leeren	active_to_mark_clear
aktiv_einfuegen_bei	active_insert_at
aktiv_entferne	active_remove
aktiv_entferne_bei	active_remove_at
aktiv_index	active_index
aktiv_letzter_mit_namen	active_last_with_names
aktiv_push	active_push
aktiv_push_marke	active_push_mark
aktiv_wiederherstellen	active_restore
aktueller	current
algebraische_identitaeten	algebraic_identities
alit_aus_lit	alit_out_lit
alle	all
alle_bits	all_bits
alle_un	all_un
alloc_und_init	alloc_and_init
alloca_dazu	alloca_add
allokationen	allocations
allow_fp_macht_gleitkomma_wieder_moeglich	allow_fp_makes_float_again_possible
alt	old
alt_bb	old_bb
alt_k	old_k
alt_kap	old_cap
alt_kopf	old_header
alt_off	old_off
alt_v	old_v
alt_z	old_z
alter	age
altkap	oldcap
am_ende	at_end
andere	other
anfang	start
angleichen	align
anhaengen	append
anhaengen_zeichen	append_char
anlegen	create
anmelden	register
anweisung	stmt
anweisung_neu	stmt_new
anz	cnt
anza	cnt
anzahl	count
anzeige	display
app_bleibt_unberuehrt	app_stays_untouched
app_erlaubt_inline_assembler	app_allowed_inline_assembler
app_verbietet_interrupt	app_forbids_interrupt
arbeit	work
arbeitsverz	work_dir
arbeitsverzeichnis	work_dir
arc_block_holen	arc_block_get
arc_block_zurueck	arc_block_back
arc_freigeben	arc_free
arc_gleich	arc_equal
arc_groesse_von	arc_size_of
arc_heap_allokationen	arc_heap_allocations
arc_heap_belegte_bytes	arc_heap_used_bytes
arc_heap_frei	arc_heap_free
arc_heap_freigaben	arc_heap_releases
arc_heap_kapazitaet	arc_heap_capacity
arc_heap_lebende	arc_heap_live
arc_ist_leer	arc_is_empty
arc_klasse_bytes	arc_class_bytes
arc_klasse_fuer	arc_class_for
arc_klonen	arc_clone
arc_leer	arc_empty
arc_lesen	arc_read
arc_neu	arc_new
arc_roh_adresse	arc_raw_address
arc_roh_verweis	arc_raw_ref
arc_schwach_zahl	arc_weak_number
arc_seiten	arc_pages
arc_stark_zahl	arc_strong_number
arc_wert_adresse	arc_value_address
arg_anfang	arg_start
arg_anzahl	arg_count
arg_bei	arg_at
arg_dazu	arg_add
arg_ist	arg_is
arg_zeiger	arg_ptr
args_ablegen	args_store
argzahl	arg_count
arrays_zaehlen_wie_structs	arrays_count_how_structs
art	kind
art_nr	kind_nr
art_s	kind_s
art_von	kind_of
as_aus	as_out
as_pfad	as_path
ascii_klein	ascii_small
asm_anzahl	asm_count
asm_aus	asm_out
asm_bleibt_trotz_unbenutztem_ergebnis_stehen	asm_stays_despite_unused_result_stand
asm_clob_anzahl	asm_clob_count
asm_dazu	asm_add
asm_ein_anzahl	asm_in_count
asm_ein_reg	asm_in_reg
asm_maskiert	asm_masked
asm_nummer	asm_number
asm_pruefen	asm_check
asm_reg_pruefen	asm_reg_check
asm_senken	asm_lower
asm_von	asm_of
asm_vorlage	asm_template
ast_kanon	ast_canon
ast_typ	ast_ty
atomar	atomic
atome_sind_ganzzahlen	atoms_are_ints
attr_erstes	attr_first
attr_finden	attr_find
attr_setzen	attr_set
attr_wert	attr_value
attr_zahl	attr_number
attribut	attr
attribut_probe	attr_probe
attribute_ergaenzen	attribute_amend
attribute_gleich	attribute_equal
attribute_schreiben	attribute_write
attribute_uebernehmen	attribute_take
auf	on
auf_funktion	on_func
aufbau	build
auffang	has_catch
auffang_bb	catch_bb
aufgeben	give_up
aufgeloest	resolved
aufloesen	resolve
aufloesen_self	resolve_self
aufraeumen	cleanup
aufruf	call
aufruf_mit_acht_argumenten_legt_zwei_auf_den_stapel	call_with_eight_args_puts_two_on_the_stack
aufruf_zwischen_store_und_load_verhindert_weiterleitung	call_between_store_and_load_prevents_forwarding
aufruf_zwischen_store_und_sprung_blockiert	call_between_store_and_jump_blocked
aufrunden	round_up
auftraege	jobs
aufwaendig	costly
aufwerten	promote
aufwerten_atomar	promote_atomic
aus	out
aus_rahmen	out_frame
ausdruck	expr
ausdruck_anzahl	expr_count
ausdruck_inner	expr_inner
ausdruck_neu	expr_new
ausg	outb
ausgabe	output
ausricht	align
ausrichtung_von	alignment_of
ausschreiben	spellout
aussen	outer
aussen_merken	outer_remember
aussen_neu	outer_new
ausser	except
austypen	infer
auswerten	eval
aweak_freigeben	aweak_free
aweak_ist_leer	aweak_is_empty
aweak_leer	aweak_empty
aweak_roh_adresse	aweak_raw_address
aweak_stark_zahl	aweak_strong_number
aweak_von	aweak_of
b_grenze	b_limit
b_gross	b_big
b_iliste	b_ilist
b_klein	b_small
b_t1_von	b_t1_of
b_t2_von	b_t2_of
b_t3_von	b_t3_of
b_t4_von	b_t4_of
b_t5_von	b_t5_of
b_term_von	b_term_of
barrier_bleibt_undurchsichtig	barrier_stays_opaque
basis	base
basis_darf_gelesen	base_may_read
basis_n	base_n
basis_tid	base_tid
basis_vorladen	base_preload
baue	build
bauen	build
baum	tree
baum_bauen	tree_build
baum_dokument	tree_document
baum_eof	tree_eof
baum_fehler	tree_error
baum_frei	tree_free
baum_init	tree_init
baum_kaputt	tree_broken
baum_loslassen	tree_release
baum_loslassen_und_saeubern	tree_release_and_clean
baum_modus	tree_mode
baum_neu	tree_new
baum_offen_zahl	tree_open_number
baum_probe	tree_probe
baum_puffer_init	tree_buffer_init
baum_s	tree_s
baum_schreiben	tree_write
baum_token	tree_token
baum_um_loeschen	tree_um_delete
baum_um_pos	tree_um_pos
baum_um_tag	tree_um_tag
baum_umschaltung	tree_switching
bd_typ	bd_ty
bed	cond
bed_ausdruck	cond_expr
bedingt	conditional
bedingung	cond
bedingung_ohne_struct_literal	cond_without_struct_literal
beende	finish
befunde	findings
beginnt_mit	starts_with
bei	at
bekannt	known
belegt	used
belegt_register	used_register
benutze	use_it
beob	observer
bereich_auf	range_on
bereich_schon_offen	range_already_open
bereich_zu	range_zu
besser	better
beste	best
besuche_aufrufe	visit_calls
besuche_expr	visit_expr
betrag	abs
betroffen	affected
bewegt	moved
bezug	ref_node
binaer	binary
binden	bind
bindestrich	hyphen
bindung_finden	binding_find
bis	to
bits_von	bits_of
bleibt	stays
block_anzahl	block_count
block_bei	block_at
block_neu	block_new
blockadr	block_addr
blocklayout_macht_aus_dem_zweiten_sprung_einen_fallthrough	blocklayout_makes_out_the_second_jump_a_fallthrough
boden	bottom
braucht	needs
braucht_sammlungen	needs_collections
braucht_sret	needs_sret
breit	wide
breite	width
breite_aus_tabelle	width_out_table
breite_von	width_of
bsp	example
buchstaeblich	literal
buf_frei	buf_free
buf_leeren	buf_clear
buf_neu	buf_new
buf_push_dez_i64	buf_push_dec_i64
buf_push_dez_u64	buf_push_dec_u64
buf_setzen	buf_set
buf_wachse	buf_grow
byte_bei	byte_at
bytes_gleich	bytes_equal
bytes_ist_kein_text	bytes_is_no_text
c_laenge	c_length
c_typ	c_ty
c_wert	c_value
callee_saved_werden_gesichert_und_zurueckgeholt	callee_saved_become_saved_and_retrieved
caption_schliessen	caption_close
cas_sequenz	cas_sequence
catch_pruefen	catch_check
cb_aus	cb_out
cg_frei	cg_free
cg_freistehend_setzen	cg_freestanding_set
cg_gc_setzen	cg_gc_set
cg_if_setzen	cg_if_set
cg_lauf	cg_run
cg_neu	cg_new
cg_ungeeignet	cg_unsuitable
check_mmio_lesen	check_mmio_read
check_mmio_schreiben	check_mmio_write
check_neu	check_new
checker_nach_erstem_lauf	checker_after_first_run
code_von	code_of
coerce_pruefen	coerce_check
comptime_bloecke	comptime_blocks
comptime_deklaration	comptime_decl
const_deklaration	const_decl
constant_time_bleibt_unberuehrt	constant_time_stays_untouched
constant_time_funktionen_bleiben_getrennt	constant_time_funcs_stay_separate
cos_kern	cos_core
cp_bei	cp_at
cp_nach_buf	cp_after_buf
cp_nach_wtf8	cp_after_wtf8
cp_neu	cp_new
cp_wachse	cp_grow
ct_anzahl	ct_count
ct_dazu	ct_add
ct_noetig	ct_needed
ctfehl	cterr
ctor_adresse	ctor_address
ctor_pruefen	ctor_check
ctor_schreiben	ctor_write
ctor_teilen	ctor_split
ctschlecht	ctbad
d_datei	d_file
d_grenze	d_limit
d_hin_len	d_to_len
d_hin_off	d_to_off
d_laenge	d_length
d_spalte	d_col
d_zeile	d_line
d_ziel	d_target
dach	roof
danach	after
dann	then
datei	file
datei_byte	file_byte
datei_groesse	file_size
datei_id	file_id
dateien	files
dateilaenge	file_len
daten	data
dauer	duration
davor	before
dazu	add
dazu_cp	add_cp
defer_bis	defer_to
defer_bis_fehler	defer_to_error
defer_bis_mf	defer_to_mf
defer_ebene_auf	defer_level_on
defer_ebene_zu	defer_level_zu
defer_sprung	defer_jump
dekodiere	decode
den	the
dep_wurzel	dep_root
deskriptor_peephole	descriptor_peephole
dez_links	dec_left
dez_rechts	dec_right
diag_anzahl	diag_count
diag_datei	diag_file
diag_dateiname	diag_file_name
diag_fehler	diag_error
diag_fehler_hinweis	diag_error_note
diag_frei	diag_free
diag_hat_fehler	diag_has_error
diag_neu	diag_new
diag_quellzeile	diag_source_line
diag_voll	diag_full
dichte	density
dichter_switch_erzeugt_sprungtabelle	denser_switch_generated_jump_table
differenz	diff
division_bleibt_in_der_schleife	division_stays_in_the_loop
division_durch_null_bleibt_stehen	division_by_null_stays_stand
dnamen	dnames
doctype_modus	doctype_mode
doctype_neu	doctype_new
dok	doc
dok_modus	doc_mode
dok_modus_setzen	doc_mode_set
doku_beispiel_stimmt	doc_example_matches
doku_programm	doc_program
dokument_neu	document_new
dom_attribut_entfernen	dom_attr_remove
dom_attribut_lesen	dom_attr_read
dom_attribut_setzen	dom_attr_set
dom_attribut_zahl	dom_attr_number
dom_element_neu	dom_elem_new
dom_kind	dom_child
dom_kind_anhaengen	dom_append_child
dom_kind_entfernen	dom_remove_child
dom_kinder_zaehlen	dom_children_count
dom_knoten_neu	dom_node_new
dom_listener_anhaengen	dom_listener_append
dom_listener_zaehlen	dom_listener_count
dom_observer_anlegen	dom_observer_create
dom_observer_anlegen_t	dom_observer_create_t
dom_observer_lebt	dom_observer_lives
dom_observer_neu	dom_observer_new
dom_sammlung_auffrischen	dom_collection_refresh
dom_sammlung_neu	dom_collection_new
dom_scrub_tief	dom_scrub_deep
dom_selbsttest	dom_self_test
dom_wrapper_anhaengen	dom_wrapper_append
dom_zyklus_bauen	dom_cycle_build
dom_zyklus_verwerfen	dom_cycle_discard
doppel	double
doppelpunkt	colon
doppelt	duplicate
doppelt_gelesen	duplicate_read
doppelte_eintraege_werden_gemeldet	duplicate_entries_become_reported
dquelle	dsource
dquelle_len	dsource_len
druck	print
drucke_anweisung	print_stmt
drucke_ausdruck	print_expr
drucke_binop	print_binop
drucke_block	print_block
drucke_inst	print_inst
drucke_klasse	print_class
drucke_programm	print_program
drucke_term	print_term
drucke_typ	print_ty
drucke_typname	print_ty_name
drucke_unop	print_unop
dtoa_arbeitsbytes	dtoa_work_bytes
durch	by
durchreichen	passthrough
dyn_schnittstelle	dyn_interface
e_art	e_kind
e_ausricht	e_align
e_groesse	e_size
e_zahl	e_number
ebene	level
ebenen	levels
echt	real
echte	real
echte_regeln_sind_die_aus_gc_rs	real_rules_are_the_out_gc_rs
echter_name	real_name
ecke	corner
eckensumme	corner_sum
ecksumme	corner_sum
eigen	own
eigene	own
eigene_funktion_verdeckt_das_primitiv	own_func_shadowed_the_primitive
eigene_suchen	own_search
eigene_wurzel	own_root
eigenes	own
ein	ins
ein_ausdruck	in_expr
ein_b	in_b
ein_regs	in_regs
eine	a
eine_runde	a_round
eines	a
eines_von	a_of
einfach	simple
einfache_zellen	simple_cells
einfaches_return	simple_return
einfuegemodus_zuruecksetzen	insert_mode_reset
eing	inp
eing_n	in_n
eingabe	input
eingabe_pruefen	input_check
eingefuegt	inserted
einheit	unit
einheiten	units
einmal_geschriebene_alloca_wird_aufgeloest	once_written_alloca_becomes_resolved
einrueckung	indent
eins	one
einsam	lonely
eintraege	entries
eintraege_wachsen	entries_grow
eintrag	entry
elem_adresse	elem_address
elem_adresse_konst	elem_address_const
element	elem
element_einfuegen_fuer_token	elem_insert_for_token
element_einfuegen_name	elem_insert_name
element_fuer_token	elem_for_token
element_ist	elem_is
element_klonen	elem_clone
element_name	elem_name
element_neu	elem_new
element_ns	elem_ns
elemente	elems
else_if_kette	else_if_chain
eltern	parent
eltern_aus	parent_out
emissionsreihenfolge	emit_order
emit_roh	emit_raw
emit_zahl	emit_number
empf	recv
empf_adr	recv_addr
empf_ok	recv_ok
empf_struct	recv_struct
empf_struct_l	recv_struct_l
empfaenger_adresse	receiver_address
empfaenger_praefix	receiver_prefix
empfaenger_struktur	receiver_structure
empfangen	receive
ende	end
ende_allgemein	end_general
ende_anweisung	end_stmt
ende_blockgruppe	end_block_group
ende_vorher	end_before
endet_auf	ends_on
endet_mit	ends_with
endlos	endless
endtag_pruefen	endtag_check
endung_o	extension_o
endung_s	extension_s
ent_versucht	ent_tries
enthaelt	contains
enthaelt_dyn	contains_dyn
enthaelt_enum	contains_enum
enthaelt_struct	contains_struct
enthaelt_zeichen	contains_char
entschluessele	decode
enum_deklaration	enum_decl
eof_modus	eof_mode
erfuellt	satisfied
erfuellt_alle	satisfied_all
erfuellt_iface	satisfied_iface
erlaubt	allowed
erlaubt_fn	allowed_fn
erlaubt_typ	allowed_ty
erreicht_sich_selbst	reaches_itself_self
error_deklaration	error_decl
ersatz	replacement
ersetze	replace
ersetze_erstes	replace_first
ersetze_zeichen_hier	replace_char_here
ersetzen	replace
ersetzt	replaced
erst	first
erste	first
erste_teilbar	first_divisible
erster	first
erstes	first
erstes_attr	first_attr
erstes_kind	first_child
erwarte	expect
erwartet	expected
erwartung	expectation
erweiterungen_suchen	extensions_search
erzeugt	generated
erzeugt_start_und_prolog	generated_start_and_prolog
ex_kern	ex_core
exe_suchpfad	exe_search_path
exp_anzahl	exp_count
exp_dazu	exp_add
export_deklaration	export_decl
expr_ids_sind_fortlaufend	expr_ids_are_continuous
extern_wird_abgelehnt	extern_becomes_rejected
f64_ist_nan	f64_is_nan
f64_ist_null	f64_is_null
f64_ist_unendlich	f64_is_infinite
f64_vorzeichen	f64_sign
f_int_setzen	f_int_set
f_int_von	f_int_of
f_name_von	f_name_of
f_plen_von	f_plen_of
f_poff_von	f_poff_of
f_ret_von	f_ret_of
f_rumpf	f_body
f_typ	f_ty
f_versatz	f_offset
f_werte	f_values
fach	bucket
faden	thread
faden_anzahl	thread_count
faden_blockierend_an	thread_blocking_an
faden_blockierend_aus	thread_blocking_out
faden_entsperren	thread_unlock
faden_gestartet	thread_started
faden_init	thread_init
faden_kanal_belegt	thread_channel_used
faden_kanal_empfangen	thread_channel_receive
faden_kanal_frei	thread_channel_free
faden_kanal_neu	thread_channel_new
faden_kanal_senden	thread_channel_send
faden_mehrfaedig	thread_multithreaded
faden_safepoint	thread_safepoint
faden_schlafen	thread_sleep
faden_sperren	thread_lock
faden_stapel_setzen	thread_stack_set
faden_starten	thread_start
faden_tid	thread_tid
faden_warten	thread_wait
fadenarbeit_default	thread_work_default
faedeln	threading
fahre	run
fak	fact
faktor	factor
fakultaet	factorial
fall	case
falsch	wrong
falsche_stelligkeit	wrong_arity
faltbare_adressen	foldable_addresses
faltet_arithmetik_und_entfernt_zwischenwerte	folds_arithmetic_and_removed_intermediates
farbe	color
fd_typ	fd_ty
fe_bisher	fe_sofar
fehl	fail
fehl_wert	fail_value
fehlen	missing
fehlend	missing
fehlende_pflichtangaben	missing_required
fehlende_variante_ist_ein_fehler_mit_namen	missing_variant_is_in_error_with_names
fehler	err
fehler_anmelden	error_register
fehler_beginn	error_begin
fehler_busy_auf	error_busy_on
fehler_busy_zu	error_busy_zu
fehler_catch	error_catch
fehler_catch_setzen	error_catch_set
fehler_cb	error_cb
fehler_cb_setzen	error_cb_set
fehler_code_von	error_code_of
fehler_codes	error_codes
fehler_coerce_art	error_coerce_kind
fehler_coerce_offen	error_coerce_open
fehler_coerce_setzen	error_coerce_set
fehler_ctor_code	error_ctor_code
fehler_ctor_pruefen	error_ctor_check
fehler_dann_weiterlexen	error_then_relex
fehler_fehler	error_error
fehler_frei	error_free
fehler_hinweis	error_note
fehler_in_zwei_funktionen	error_in_two_funcs
fehler_ist_catchname	error_is_catchname
fehler_ist_ergebnisname	error_is_resultname
fehler_ist_tryname	error_is_tryname
fehler_menge_anzahl	error_set_count
fehler_menge_dazu	error_set_add
fehler_menge_finden	error_set_find
fehler_mit_hinweis	error_with_note
fehler_name_teilen	error_name_split
fehler_neu	error_new
fehler_ort	error_place
fehler_pending_dazu	error_pending_add
fehler_platzhalter	error_placeholder
fehler_return	error_return
fehler_ruhig_set	error_quiet_set
fehler_schluss	error_final
fehler_set_bei_struct	error_set_at_struct
fehler_set_typ	error_set_ty
fehler_set_von_typ	error_set_of_ty
fehler_structphase	error_structphase
fehler_try	error_try
fehler_try_setzen	error_try_set
fehler_typ	error_ty
fehler_u_set	error_u_set
fehler_u_sidx	error_u_sidx
fehler_u_valty	error_u_valty
fehler_u_voff	error_u_voff
fehler_union_bauen	error_union_build
fehler_union_bei_struct	error_union_at_struct
fehler_union_typ	error_union_ty
fehler_union_von_typ	error_union_of_ty
fehler_variante_dazu	error_variant_add
fehler_verlassen	error_leave
fehler_von	error_of
fehlercode	error_code
fehlerpfad	error_path
fehlerquelle	error_source
fehlertexte_stehen_fest	error_texts_stand_fixed
fehlt	missing
feld	field
feld_anfang	field_start
feld_dazu	field_add
feld_name	field_name
feld_typ	field_ty
feld_typ_von	field_ty_of
feld_versatz	field_offset
felder	fields
feldname	field_name
feldtyp_erlaubt	field_ty_allowed
fernster	farthest
fertig	done
festlegen	define
fgrenze	flimit
fhelfer	fhelper
fidx_stapel	fidx_stack
finalisierer_default	finalizer_default
finde	find
finde_ab	find_ab
finde_nicht_aus	find_not_out
finde_rueck	find_back
finde_zeichen	find_char
finde_zeichen_ab	find_char_ab
finde_zeichen_rueck	find_char_back
fir_frei	fir_free
fir_neu	fir_new
firnlib_pfad	firnlib_path
flaeche	area
flagge_setzen	flag_set
flaggen	flags
fluss	flow
flwert	flvalue
fmt_anhaengen	fmt_append
fmt_breit	fmt_wide
fmt_druck	fmt_print
fmt_druck_zeile	fmt_print_line
fmt_eprint_zeile	fmt_eprint_line
fmt_frei	fmt_free
fmt_in_datei	fmt_in_file
fmt_inhalt	fmt_content
fmt_neu	fmt_new
fmt_wiederhole	fmt_repeat
fmt_zahl	fmt_number
fmt_zeichen	fmt_char
fmt_zeile	fmt_line
fn_anzahl	fn_count
fn_auspraegen	fn_instantiate
fn_dazu	fn_add
fn_deklaration	fn_decl
fn_neu	fn_new
fn_nummer	fn_number
fn_rumpf	fn_body
fn_suchen	fn_search
fn_vorlage	fn_template
fn_vorlage_finden	fn_template_find
fn_vorlagen_der_datei	fn_templates_the_file
fnamen	fnames
for_anweisung	for_stmt
formatierung	formatting
fortschritt	progress
fp_erlaubt	fp_allowed
frage	question
fragment_neu	fragment_new
frak	frac
frame_auf	frame_on
frei	free
freigaben	releases
freigeben	free
freistehend	freestanding
fremd	foreign
fremder_store_zwischen_store_und_sprung_blockiert	foreign_store_between_store_and_jump_blocked
friss	eat
ftypen	ftypes
fuehre_bloecke_aus	run_blocks_out
fuell	fill
fuelle_links	fill_left
fuelle_rechts	fill_right
fueller	filler
fuellung	fill
fuer	is_for
fund	hit
funktion	func
fv_rumpf	fv_body
ganz	whole
ganzzahl_match_braucht_einen_auffangfall	int_match_needs_a_catch_arm
gbaum	gtree
gc_alloc_senken	gc_alloc_lower
gc_anmelden	gc_register
gc_anzahl	gc_count
gc_as_pruefen	gc_as_check
gc_barriere	gc_barrier
gc_basis_setzen	gc_base_set
gc_basis_tid	gc_base_tid
gc_bisher	gc_sofar
gc_class_deklaration	gc_class_decl
gc_fehler	gc_error
gc_feld_basis	gc_field_base
gc_feld_dazu	gc_field_add
gc_fin_laeufe	gc_fin_runs
gc_fin_registriert	gc_fin_registered
gc_fin_wartend	gc_fin_waiting
gc_finalisierer_art	gc_finalizer_kind
gc_finalisierer_loeschen	gc_finalizer_delete
gc_finalisierer_setzen	gc_finalizer_set
gc_frei	gc_free
gc_hat_as_praefix	gc_has_as_prefix
gc_hat_klassen	gc_has_classes
gc_hat_neu_praefix	gc_has_new_prefix
gc_index_von	gc_index_of
gc_inkr_ab	gc_incr_ab
gc_ist_alloc_aufruf	gc_is_alloc_call
gc_ist_aufwaerts	gc_is_upward
gc_ist_gc_ptr	gc_is_gc_ptr
gc_ist_gc_weak	gc_is_gc_weak
gc_ist_gc_zeiger	gc_is_gc_ref
gc_ist_klasse	gc_is_class
gc_ist_nachfahre	gc_is_descendant
gc_ist_stark_name	gc_is_strong_name
gc_ist_verwandt	gc_is_related
gc_ist_weak_name	gc_is_weak_name
gc_klasse_aus_as	gc_class_out_as
gc_klasse_aus_neu	gc_class_out_new
gc_klasse_dazu	gc_class_add
gc_klasse_von_struct	gc_class_of_struct
gc_klasse_von_weak	gc_class_of_weak
gc_klassenname	gc_class_name
gc_laufzeit	gc_runtime
gc_laufzeit_setzen	gc_runtime_set
gc_lokal	gc_local
gc_lokal_nachfuellungen	gc_local_refills
